#x_m,y_m,w_tr_right_m,w_tr_left_m
51.7943219,432.0227619,6.968251285,6.968251285
51.31280412,437.3010143,6.930877605,6.930877605
51.06202821,442.5956269,6.921191455,6.921191455
51.04539179,447.894488,6.921619265,6.921619265
51.26631708,453.1855246,6.914486149,6.914486149
51.72872893,458.4580921,6.882997801,6.882997801
52.42403914,463.705303,6.824848305,6.824848305
53.32643068,468.9229842,6.755278381,6.755278381
54.40896629,474.1071314,6.690663722,6.690663722
55.64483179,479.2538007,6.647227338,6.647227338
57.00941035,484.3629775,6.633645355,6.633645355
58.47824992,489.4416456,6.646332703,6.646332703
60.02648584,494.4975707,6.680469098,6.680469098
61.62948703,499.5383783,6.73099455,6.73099455
63.26390059,504.5709249,6.791520949,6.791520949
64.90680864,509.6018056,6.855236203,6.855236203
66.53549475,514.6375458,6.915570715,6.915570715
68.1318568,519.6830869,6.97070349,6.97070349
69.68240145,524.741788,7.023516382,7.023516382
71.17506203,529.8166001,7.075823611,7.075823611
72.60571711,534.9082778,7.121377015,7.121377015
73.97341037,540.0167005,7.150756302,7.150756302
75.2771642,545.1417504,7.154613961,7.154613961
76.51272079,550.2838734,7.127143403,7.127143403
77.67288821,555.4436937,7.072589871,7.072589871
78.75429094,560.6207394,7.000485823,7.000485823
79.75385537,565.8144573,6.920617638,6.920617638
80.66850785,571.0242941,6.842703029,6.842703029
81.49522576,576.2496868,6.77632321,6.77632321
82.23476601,581.489358,6.727210669,6.727210669
82.89418335,586.7408392,6.694761883,6.694761883
83.47954062,592.001831,6.676197621,6.676197621
83.99398556,597.270551,6.665875619,6.665875619
84.44034586,602.5452727,6.657894899,6.657894899
84.81909789,607.8244848,6.648724425,6.648724425
85.12518541,613.1071817,6.640330355,6.640330355
85.35275711,618.3924306,6.63546241,6.63546241
85.49596165,623.6792985,6.636863158,6.636863158
85.54895192,628.9668528,6.647262123,6.647262123
85.50824507,634.2541919,6.667042818,6.667042818
85.37810209,639.5405663,6.691827919,6.691827919
85.16708388,644.8253936,6.719492085,6.719492085
84.88419084,650.1081117,6.748361162,6.748361162
84.53842334,655.3881586,6.776773982,6.776773982
84.13878175,660.6649726,6.803083288,6.803083288
83.69397263,665.9380298,6.825940092,6.825940092
83.21014087,671.2071404,6.846471204,6.846471204
82.69210631,676.472287,6.867054795,6.867054795
82.14395076,681.7335585,6.88936134,6.88936134
81.56821384,686.9912658,6.913576652,6.913576652
80.96723842,692.2457482,6.939697572,6.939697572
80.34338035,697.497346,6.967707671,6.967707671
79.69960741,702.7464602,6.996980363,6.996980363
79.03974992,707.9935768,7.026032311,7.026032311
78.36770324,713.2391881,7.053321558,7.053321558
77.68736271,718.4837864,7.07731317,7.07731317
77.00262365,723.7278641,7.096480034,7.096480034
76.31738142,728.9719136,7.109303791,7.109303791
